City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Hella,NO,2022-03-23 01:36:46,67.2,14.4333,42.94,89,75,24.16
193,Poronaysk,RU,2022-03-23 01:36:47,49.2167,143.1167,32.86,79,6,9.26
194,Great Yarmouth,GB,2022-03-23 01:36:47,52.6083,1.7305,46.02,89,29,5.32
195,Sinnamary,GF,2022-03-23 01:36:48,5.3833,-52.95,75.18,97,100,13.56
196,Port Alfred,ZA,2022-03-23 01:36:48,-33.5906,26.891,69.44,87,0,10.38
197,Taltal,CL,2022-03-23 01:36:48,-25.4,-70.4833,65.39,79,0,1.97
198,Sorong,ID,2022-03-23 01:36:49,-0.8833,131.25,80.24,84,100,16.51
199,Padang,ID,2022-03-23 01:36:49,-0.9492,100.3543,78.85,65,32,0.78
200,Nikolskoye,RU,2022-03-23 01:36:50,59.7035,30.7861,33.71,95,89,4.25
201,Piedras Negras,MX,2022-03-23 01:36:50,28.7,-100.5167,64.24,24,0,16.73
202,Lata,PT,2022-03-23 01:36:50,40.1629,-8.3327,52.92,96,100,2.73
203,Mocuba,MZ,2022-03-23 01:36:51,-16.8392,36.9856,68.58,98,79,4.0
204,Cherskiy,RU,2022-03-23 01:34:59,68.75,161.3,28.83,82,21,9.57
205,Viedma,AR,2022-03-23 01:36:51,-40.8135,-62.9967,67.23,31,3,11.9
206,Batalha,BR,2022-03-23 01:36:52,-9.6778,-37.1247,76.82,82,23,5.19
207,Matagami,CA,2022-03-23 01:36:52,49.7502,-77.6328,19.51,68,0,0.0
208,San Cristobal,VE,2022-03-23 01:36:52,7.7669,-72.225,71.78,84,23,0.83
209,Broken Hill,AU,2022-03-23 01:36:53,-31.95,141.4333,69.51,56,40,17.27
210,Tessalit,ML,2022-03-23 01:36:53,20.1986,1.0114,69.94,12,0,6.42
211,Fort Nelson,CA,2022-03-23 01:35:46,58.8053,-122.7002,24.39,68,75,4.61
212,Saint-Joseph,RE,2022-03-23 01:36:53,-21.3667,55.6167,75.58,86,15,8.05
213,Raudeberg,NO,2022-03-23 01:36:54,61.9875,5.1352,41.86,67,23,16.13
214,Komsomolskiy,UZ,2022-03-23 01:36:54,40.4272,71.7189,47.12,87,75,2.3
215,Poum,NC,2022-03-23 01:36:55,-20.2333,164.0167,80.31,74,51,9.93
216,Bethel,US,2022-03-23 01:36:55,41.3712,-73.414,47.75,42,0,3.0
217,Hirado,JP,2022-03-23 01:36:56,33.3597,129.5531,51.39,77,100,8.32
218,Hofn,IS,2022-03-23 01:36:56,64.2539,-15.2082,44.4,92,100,8.63
219,Balkhash,KZ,2022-03-23 01:36:57,46.844,74.9804,23.61,86,0,13.42
220,Salamiyah,SY,2022-03-23 01:36:57,35.0113,37.0532,42.96,74,100,4.16
221,San Luis,AR,2022-03-23 01:36:57,-33.295,-66.3356,66.76,54,6,9.1
